date,revenue,age_groups,180dayma,30dayma,7dayma,Prev30
2019-02-20,25031.0000,all,13166.43500000,22379.56666667,22323.00000000,16901.68333333
2019-02-21,19348.0000,all,13252.40722222,22347.76666667,23234.85714286,17313.91666667
2019-02-22,29161.0000,all,13389.10388889,22743.00000000,24609.71428571,17746.45000000
2019-02-23,15473.5000,all,13448.45111111,22681.21666667,23878.07142857,18123.18333333
2019-02-24,13740.0000,all,13495.11666667,22653.55000000,22548.21428571,17973.38333333
2019-02-25,22890.0000,all,13588.65444444,22591.25000000,21794.21428571,18242.45000000
2019-02-26,22400.0000,all,13688.15111111,22497.78333333,21149.07142857,18602.58333333
2019-02-27,22425.0000,all,13786.28111111,22298.98333333,20776.78571429,19182.68333333
2019-02-28,20574.0000,all,13877.42777778,22287.41666667,20951.92857143,19299.28333333
2019-03-01,18653.0000,all,13958.20555556,22008.91666667,19450.78571429,19797.85000000
2019-03-02,16633.0000,all,14022.94444444,21545.31666667,19616.42857143,20083.08333333
2019-03-03,18797.0000,all,14091.88000000,21438.65000000,20338.85714286,19811.75000000
2019-03-04,21706.0000,all,14174.56888889,21390.01666667,20169.71428571,19788.25000000
2019-03-05,20664.0000,all,14256.68222222,21391.31666667,19921.71428571,19540.68333333
2019-03-06,21062.0000,all,14349.91555556,21209.78333333,19727.00000000,19822.91666667
2019-03-07,21652.0000,all,14438.24333333,21181.11666667,19881.00000000,19891.41666667
2019-03-08,23839.0000,all,14518.33444444,21202.85000000,20621.85714286,19998.78333333
2019-03-09,16300.0000,all,14569.98111111,21039.48333333,20574.28571429,19967.30000000
2019-03-10,22596.3000,all,14657.24388889,21247.06000000,21117.04285714,19853.83333333
2019-03-11,26301.0000,all,14756.18500000,21582.52666667,21773.47142857,19838.03333333
2019-03-12,21183.0000,all,14842.12055556,21588.96000000,21847.61428571,19986.63333333
2019-03-13,26729.0000,all,14964.73166667,21680.92666667,22657.18571429,20365.26666667
2019-03-14,23209.0000,all,15072.03722222,21524.22666667,22879.61428571,20824.23333333
2019-03-15,22859.0000,all,15166.90388889,21481.86000000,22739.61428571,21064.13333333
2019-03-16,17578.0000,all,15226.55055556,21635.62666667,22922.18571429,20882.76666667
2019-03-17,21669.0000,all,15312.13388889,21706.69333333,22789.71428571,20868.40000000
2019-03-18,26775.0000,all,15418.03055556,21912.69333333,22857.42857143,20935.46666667
2019-03-19,31646.5000,all,15549.74444444,22199.27666667,24352.21428571,21178.10000000
2019-03-20,25959.0000,all,15659.15000000,22125.64333333,24242.21428571,21675.10000000
2019-03-21,31450.0000,all,15796.45000000,22276.77666667,25419.50000000,22080.16666667
2019-03-22,21592.0000,all,15876.93888889,22162.14333333,25238.50000000,22379.56666667
2019-03-23,19062.0000,all,15945.42777778,22152.61000000,25450.50000000,22347.76666667
2019-03-24,24478.0000,all,16049.91666667,21996.51000000,25851.78571429,22743.00000000
2019-03-25,26052.0000,all,16151.58888889,22349.12666667,25748.50000000,22681.21666667
2019-03-26,26961.0000,all,16269.47777778,22789.82666667,25079.14285714,22653.55000000
2019-03-27,21681.0000,all,16369.62222222,22749.52666667,24468.00000000,22591.25000000
2019-03-28,19721.0000,all,16451.77222222,22660.22666667,22792.42857143,22497.78333333
2019-03-29,21323.0000,all,16534.78333333,22623.49333333,22754.00000000,22298.98333333
2019-03-30,20383.0000,all,16590.33888889,22617.12666667,22942.71428571,22287.41666667
2019-03-31,22196.0000,all,16672.91666667,22735.22666667,22616.71428571,22008.91666667
2019-04-01,25071.0000,all,16756.36111111,23016.49333333,22476.57142857,21545.31666667
2019-04-02,21846.0000,all,16826.31111111,23118.12666667,21745.85714286,21438.65000000
2019-04-03,18210.0000,all,16899.19666667,23001.59333333,21250.00000000,21390.01666667
2019-04-04,18433.0000,all,16966.56277778,22927.22666667,21066.00000000,21391.31666667
2019-04-05,26133.0000,all,17075.48500000,23096.26000000,21753.14285714,21209.78333333
2019-04-06,15732.0000,all,17107.64611111,22898.92666667,21088.71428571,21181.11666667
2019-04-07,20551.0000,all,17174.39055556,22789.32666667,20853.71428571,21202.85000000
2019-04-08,24264.0000,all,17264.10722222,23054.79333333,20738.42857143,21039.48333333
2019-04-09,35391.0000,all,17403.03500000,23481.28333333,22673.42857143,21247.06000000
2019-04-10,26666.0000,all,17482.14055556,23493.45000000,23881.42857143,21582.52666667
2019-04-11,31412.0000,all,17610.21833333,23834.41666667,25735.57142857,21588.96000000
2019-04-12,26127.0000,all,17702.12944444,23814.35000000,25734.71428571,21680.92666667
2019-04-13,21547.0000,all,17757.45722222,23758.95000000,26565.42857143,21524.22666667
2019-04-14,17438.0000,all,17799.88500000,23578.25000000,26120.71428571,21481.86000000
2019-04-15,23437.0000,all,17861.74611111,23773.55000000,26002.57142857,21635.62666667
2019-04-16,23673.0000,all,17942.40722222,23840.35000000,24328.57142857,21706.69333333
2019-04-17,19051.0000,all,18016.35166667,23582.88333333,23240.71428571,21912.69333333
2019-04-18,26908.0000,all,18136.71833333,23424.93333333,22597.28571429,22199.27666667
2019-04-19,26818.0000,all,18254.70722222,23453.56666667,22696.00000000,22125.64333333
2019-04-20,17427.0000,all,18285.86277778,22986.13333333,22107.42857143,22276.77666667
2019-04-21,14366.0000,all,18302.62944444,22745.26666667,21668.57142857,22162.14333333
2019-04-22,31037.0000,all,18418.16833333,23144.43333333,22754.28571429,22152.61000000
2019-04-23,26602.0000,all,18523.96277778,23215.23333333,23172.71428571,21996.51000000
2019-04-24,25939.0000,all,18632.80166667,23211.46666667,24156.71428571,22349.12666667
2019-04-25,22439.0000,all,18727.46833333,23060.73333333,23518.28571429,22789.82666667
2019-04-26,18628.0000,all,18789.84611111,22958.96666667,22348.28571429,22749.52666667
2019-04-27,16836.0000,all,18812.52944444,22862.80000000,22263.85714286,22660.22666667
2019-04-28,29285.0000,all,18921.80722222,23128.20000000,24395.14285714,22623.49333333
2019-04-29,41673.0000,all,19125.34055556,23837.86666667,25914.57142857,22617.12666667
2019-04-30,31008.0000,all,19245.02388889,24131.60000000,26544.00000000,22735.22666667
2019-05-01,31200.5000,all,19363.41555556,24335.91666667,27295.64285714,23016.49333333
2019-05-02,23264.0000,all,19448.64888889,24383.18333333,27413.50000000,23118.12666667
2019-05-03,20904.0000,all,19516.52666667,24472.98333333,27738.64285714,23001.59333333
2019-05-04,23359.0000,all,19577.80444444,24637.18333333,28670.50000000,22927.22666667
2019-05-05,31465.0000,all,19682.04888889,24814.91666667,28981.92857143,23096.26000000
2019-05-06,42670.0000,all,19829.48222222,25712.85000000,29124.35714286,22898.92666667
2019-05-07,31482.0000,all,19926.83222222,26077.21666667,29192.07142857,22789.32666667
2019-05-08,30575.0000,all,20037.54333333,26287.58333333,29102.71428571,23054.79333333
2019-05-09,32640.0000,all,20174.18222222,26195.88333333,30442.14285714,23481.28333333
2019-05-10,26156.0000,all,20235.99888889,26178.88333333,31192.42857143,23493.45000000
2019-05-11,22413.0000,all,20256.87666667,25878.91666667,31057.28571429,23834.41666667
2019-05-12,19071.0000,all,20266.12111111,25643.71666667,29286.71428571,23814.35000000
2019-05-13,34525.0000,all,20371.47666667,26076.31666667,28123.14285714,23758.95000000
2019-05-14,29361.0000,all,20454.10444444,26473.75000000,27820.14285714,23578.25000000
2019-05-15,27269.0000,all,20524.78222222,26601.48333333,27347.85714286,23773.55000000
2019-05-16,27048.0000,all,20620.40444444,26713.98333333,26549.00000000,23840.35000000
2019-05-17,20484.0000,all,20670.69888889,26761.75000000,25738.71428571,23582.88333333
2019-05-18,16904.0000,all,20711.55444444,26428.28333333,24951.71428571,23424.93333333
2019-05-19,23718.0000,all,20792.71555556,26324.95000000,25615.57142857,23453.56666667
2019-05-20,46338.0000,all,21009.37111111,27288.65000000,27303.14285714,22986.13333333
2019-05-21,39068.0000,all,21206.06000000,28112.05000000,28689.85714286,22745.26666667
2019-05-22,27612.0000,all,21309.15444444,27997.88333333,28738.85714286,23144.43333333
2019-05-23,26297.0000,all,21405.16555556,27987.71666667,28631.57142857,23215.23333333
2019-05-24,21708.0000,all,21415.16000000,27846.68333333,28806.42857143,23211.46666667
2019-05-25,20078.0000,all,21043.67666667,27767.98333333,29259.85714286,23060.73333333
2019-05-26,22226.0000,all,21105.02111111,27887.91666667,29046.71428571,22958.96666667
2019-05-27,27591.0000,all,21202.05444444,28246.41666667,26368.57142857,22862.80000000
2019-05-28,30818.0000,all,21302.51000000,28297.51666667,25190.00000000,23128.20000000
2019-05-29,26418.0000,all,21399.42111111,27789.01666667,25019.42857143,23837.86666667
2019-05-30,24757.0000,all,21486.57666667,27580.65000000,24799.42857143,24131.60000000
2019-05-31,22378.0000,all,21553.44888889,27286.56666667,24895.14285714,24335.91666667
2019-06-01,20521.0000,all,21589.91555556,27195.13333333,24958.42857143,24383.18333333
2019-06-02,21770.0000,all,21617.85444444,27224.00000000,24893.28571429,24472.98333333
2019-06-03,36933.0000,all,21735.07666667,27676.46666667,26227.85714286,24637.18333333
2019-06-04,37421.0000,all,21854.19333333,27875.00000000,27171.14285714,24814.91666667
2019-06-05,33020.0000,all,21973.70444444,27553.33333333,28114.28571429,25712.85000000
2019-06-06,26901.0000,all,22070.25444444,27400.63333333,28420.57142857,26077.21666667
2019-06-07,20556.0000,all,22113.68222222,27066.66666667,28160.28571429,26287.58333333
2019-06-08,22553.0000,all,22160.63222222,26730.43333333,28450.57142857,26195.88333333
2019-06-09,28713.0000,all,22254.41833333,26815.66666667,29442.42857143,26178.88333333
2019-06-10,31380.0000,all,22356.62944444,27114.56666667,28649.14285714,25878.91666667
2019-06-11,29216.0000,all,22410.16833333,27452.73333333,27477.00000000,25643.71666667
2019-06-12,23629.0000,all,22485.66277778,27089.53333333,26135.42857143,26076.31666667
2019-06-13,29823.0000,all,22600.08500000,27104.93333333,26552.85714286,26473.75000000
2019-06-14,22717.0000,all,22671.41833333,26953.20000000,26861.57142857,26601.48333333
2019-06-15,20611.0000,all,22719.06277778,26738.63333333,26584.14285714,26713.98333333
2019-06-16,18029.5000,all,22761.86000000,26656.81666667,25057.92857143,26761.75000000
2019-06-17,29866.0000,all,22835.83222222,27088.88333333,24841.64285714,26428.28333333
2019-06-18,35829.0000,all,22948.99888889,27492.58333333,25786.35714286,26324.95000000
2019-06-19,33548.0000,all,23072.03222222,27066.25000000,27203.35714286,27288.65000000
2019-06-20,29498.0000,all,23174.66000000,26747.25000000,27156.92857143,28112.05000000
2019-06-21,29692.0000,all,23295.53222222,26816.58333333,28153.35714286,27997.88333333
2019-06-22,22226.0000,all,23394.96555556,26680.88333333,28384.07142857,27987.71666667
2019-06-23,23743.0000,all,23493.39888889,26748.71666667,29200.28571429,27846.68333333
2019-06-24,31922.0000,all,23564.83222222,27143.51666667,29494.00000000,27767.98333333
2019-06-25,27346.0000,all,23624.04888889,27314.18333333,28282.14285714,27887.91666667
2019-06-26,27632.0000,all,23697.56000000,27315.55000000,27437.00000000,28246.41666667
2019-06-27,28071.0000,all,23792.47666667,27223.98333333,27233.14285714,28297.51666667
2019-06-28,33557.0000,all,23882.11000000,27461.95000000,27785.28571429,27789.01666667
2019-06-29,19441.0000,all,23923.16555556,27284.75000000,27387.42857143,27580.65000000
2019-06-30,22867.0000,all,23928.07111111,27301.05000000,27262.28571429,27286.56666667
2019-07-01,27384.0000,all,23912.77666667,27529.81666667,26614.00000000,27195.13333333
2019-07-02,29877.0000,all,23946.14888889,27800.05000000,26975.57142857,27224.00000000
2019-07-03,23505.0000,all,23920.88777778,27352.45000000,26386.00000000,27676.46666667
2019-07-04,15904.0000,all,23909.01555556,26635.21666667,24647.85714286,27875.00000000
2019-07-05,21378.0000,all,23914.13222222,26247.15000000,22908.00000000,27553.33333333
2019-07-06,22822.0000,all,23929.99888889,26111.18333333,23391.00000000,27400.63333333
2019-07-07,26567.0000,all,23954.56277778,26311.55000000,23919.57142857,27066.66666667
2019-07-08,40402.0000,all,24069.16833333,26906.51666667,25779.28571429,26730.43333333
2019-07-09,40576.0000,all,24201.75166667,27301.95000000,27307.71428571,26815.66666667
2019-07-10,29949.0000,all,24276.29055556,27254.25000000,28228.28571429,27114.56666667
2019-07-11,32209.0000,all,24385.16833333,27354.01666667,30557.57142857,27452.73333333
2019-07-12,24459.0000,all,24442.49055556,27381.68333333,30997.71428571,27089.53333333
2019-07-13,22310.0000,all,24472.36277778,27131.25000000,30924.57142857,27104.93333333
2019-07-14,24022.0000,all,24503.56277778,27174.75000000,30561.00000000,26953.20000000
2019-07-15,27139.0000,all,24543.40166667,27392.35000000,28666.28571429,26738.63333333
2019-07-16,32594.0000,all,24621.24055556,27877.83333333,27526.00000000,26656.81666667
2019-07-17,27700.0000,all,24687.51833333,27805.63333333,27204.71428571,27088.88333333
2019-07-18,33984.0000,all,24802.66277778,27744.13333333,27458.28571429,27492.58333333
